`categories_id`;`categories_image`;`parent_id`;`sort_order`;`date_added`;`last_modified`
`9`;``;`0`;`0`;`0000-00-00 00:00:00`;`2014-06-09 21:22:33`
`11`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`12`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`13`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`14`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`15`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`16`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`17`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`18`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`19`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`20`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`21`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`22`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`23`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`24`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`25`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`26`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`27`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`28`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`29`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`30`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`31`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`32`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`33`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`34`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`35`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`36`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`37`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`38`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`39`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`40`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`41`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`42`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`43`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`44`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`45`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`46`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`47`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`48`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`49`;``;`9`;`0`;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`50`;``;`0`;`0`;`2014-05-14 12:59:05`;`0000-00-00 00:00:00`
`51`;``;`50`;`0`;`2014-05-14 12:59:26`;`0000-00-00 00:00:00`
`52`;``;`50`;`0`;`2014-05-14 13:06:43`;`0000-00-00 00:00:00`
`53`;``;`0`;`0`;`2014-06-19 16:22:01`;`0000-00-00 00:00:00`
`54`;``;`0`;`0`;`2014-06-21 10:06:12`;`0000-00-00 00:00:00`
