`categories_id`;`language_id`;`categories_name`;`categories_heading_title`;`categories_description`;`categories_head_title_tag`;`categories_head_desc_tag`;`categories_head_keywords_tag`;`categories_htc_title_tag`;`categories_htc_desc_tag`;`categories_htc_keywords_tag`;`categories_htc_description`
9;1;`Air Target Catalog`;`Air Target Catalog`;`These items represent the total products available to both our USA and Canadian Customers. Not all items are available in Canada.<br><br>

Anything with a silencer or Bullpup design cannot be brought into Canada. When in doubt please ask and we will be happy to look the item up for you. We will try to identify which items can be brought into Canada as time goes on. <br><br> 

<h1>A final shipping invoice will be sent for those orders not being picked up. We ship by Canada Post and only charge what they charge.</h1><br><br>

Finally, we place our orders on Tuesdays and they arrive to us by Monday ready for you to pickup or to be shipped. If for some reason we miss the delivery , worse case is the following Monday after that.
<br<br>
<br><br>****PAL as with any firearms. If its over 500fps you will need the appropriate PAL to Match. Either Non-Restricted or Restricted. you will need to scan and email us a copy of the front and back before we place your order.`;;;;;;;
11;1;`AIR PISTOLS`;`AIR PISTOLS`;;;;;;;;
12;1;`AIR RIFLES`;`AIR RIFLES`;;;;;;;;
13;1;`AIRFORCE ACCESSORIES`;`AIRFORCE ACCESSORIES`;;;;;;;;
14;1;`AIRSOFT ACCESSORIES`;`AIRSOFT ACCESSORIES`;;;;;;;;
15;1;`AIRSOFT BATTERIES`;`AIRSOFT BATTERIES`;;;;;;;;
16;1;`AIRSOFT CHARGERS`;`AIRSOFT CHARGERS`;;;;;;;;
17;1;`AIRSOFT GUNS`;`AIRSOFT GUNS`;;;;;;;;
18;1;`AIRSOFT MAGAZINES/CLIPS`;`AIRSOFT MAGAZINES/CLIPS`;;;;;;;;
19;1;`AIRSOFT MASKS/GOGGLES`;`AIRSOFT MASKS/GOGGLES`;;;;;;;;
20;1;`AMMO`;`AMMO`;;;;;;;;
21;1;`ANIMAL TARGETS`;`ANIMAL TARGETS`;;;;;;;;
22;1;`BLANK FIRING GUNS`;`BLANK FIRING GUNS`;;;;;;;;
23;1;`BOWS`;`BOWS`;;;;;;;;
24;1;`CASES: RIFLE, PISTOL AND BOW`;`CASES: RIFLE, PISTOL AND BOW`;;;;;;;;
25;1;`CHRONOGRAPHS`;`CHRONOGRAPHS`;;;;;;;;
26;1;`CO2 ACCESSORIES `;`CO2 ACCESSORIES `;;;;;;;;
27;1;`CO2 BULK ACCESSORIES`;`CO2 BULK ACCESSORIES`;;;;;;;;
28;1;`EDUCATIONAL BOOKS, VIDEOS, CDS AND GAMES`;`EDUCATIONAL BOOKS, VIDEOS, CDS AND GAMES`;;;;;;;;
29;1;`GREEN GAS & RELATED ITEMS`;`GREEN GAS & RELATED ITEMS`;;;;;;;;
30;1;`HFC PARTS`;`HFC PARTS`;;;;;;;;
31;1;`KNIVES AND TOOLS`;`KNIVES AND TOOLS`;;;;;;;;
32;1;`KWA AIRSOFT PARTS`;`KWA AIRSOFT PARTS`;;;;;;;;
33;1;`LASERS, RED DOTS & IRON SIGHTS`;`LASERS, RED DOTS & IRON SIGHTS`;;;;;;;;
34;1;`MAGAZINES, CLIPS & RELOADERS`;`MAGAZINES, CLIPS & RELOADERS`;;;;;;;;
35;1;`MAINTENANCE AND CLEANING`;`MAINTENANCE AND CLEANING`;;;;;;;;
36;1;`NIGHT VISION GEAR &AMP; BINOCULARS`;`NIGHT VISION GEAR &AMP; BINOCULARS`;;;;;;;;
37;1;`OUTDOOR GEAR`;`OUTDOOR GEAR`;;;;;;;;
38;1;`PCP PUMPS`;`PCP PUMPS`;;;;;;;;
39;1;`PRECHARGED GUN ACCESSORIES`;`PRECHARGED GUN ACCESSORIES`;;;;;;;;
40;1;`SCOPE MOUNTS`;`SCOPE MOUNTS`;;;;;;;;
41;1;`SCOPES`;`SCOPES`;;;;;;;;
42;1;`SHOOTING NEEDS AND ACCESSORIES`;`SHOOTING NEEDS AND ACCESSORIES`;;;;;;;;
43;1;`SLINGSHOTS`;`SLINGSHOTS`;;;;;;;;
44;1;`SMITH & WESSON ACCESSORIES`;`SMITH & WESSON ACCESSORIES`;;;;;;;;
45;1;`STOCKS & PISTOL GRIPS`;`STOCKS & PISTOL GRIPS`;;;;;;;;
46;1;`TACTICAL GEAR, HOLSTERS, MAGAZINE POUCHES`;`TACTICAL GEAR, HOLSTERS, MAGAZINE POUCHES`;;;;;;;;
47;1;`TARGETS, PELLET AND BB TRAPS, RANGES`;`TARGETS, PELLET AND BB TRAPS, RANGES`;;;;;;;;
48;1;`VISION & HEARING PROTECTION`;`VISION & HEARING PROTECTION`;;;;;;;;
49;1;`WEBLEY/ VENOM ACCESSORIES`;`WEBLEY/ VENOM ACCESSORIES`;;;;;;;;
50;1;`Firearms`;`Firearms`;;;;;;;;
51;1;`Ammunition`;`Ammunition`;;;;;;;;
52;1;`Rifles and Pistols`;`Rifles and Pistols`;;;;;;;;
53;1;`Ballistol Cleaning`;;`BALLISTOL`;;;;;;;
54;1;`Special requests`;`Special Requests`;;;;;;;;
